project_id,winning_date,winning_notice_url,order_id,winning_order_cnt,project_winning_amt,supplier_name,supplier_addr,order_name,winning_amt,cadidate_name,buyer_name,buyer_addr,buyer_contact,buyer_phone,agency_name,agency_addr,agency_contact,agency_phone,source_id,
CFTC-BJ01-22011076,2022年12月12日 19:03,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221212_19211822.htm,1,1,,北京天宝信息科技有限公司,北京市海淀区西四环北路158号1幢11层441号,北京师范大学珠海校区同声传译实训室设备采购项目,293.0860000（万元）,,北京师范大学,北京市新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,国金招标有限公司,北京市朝阳区东三环南路甲52号顺迈金钻国际商务中心9层9C,边璐、王珊珊、张金鑫、吴丹、张含勇010-562150503,,1,
XHTC-HW-2022-1507,2022年12月13日 21:05,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221213_19222210.htm,"1,2,3",3,,"北京基线天成科技有限公司,北京国信晟通科技发展有限公司,北京晨光溢海数码科技有限公司","北京市海淀区东北旺西路8号院25号楼4层428室,北京市海淀区蓝靛厂南路25号1幢5层07-1号,北京市通州区新华北街75号",中国人民大学通州新校区智慧教室设备及配套设施采购项目,"830.0000000（万元）,960.6000000（万元）,1332.6490000（万元）",,中国人民大学,北京市海淀区中关村大街59号,肖老师010-62511204,010-62511204,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层新华招标,唐靖凯010-63905975、张际阳010-639059723,,1,
北林招（货）[ZB2022]058号,2022年12月15日 21:06,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221215_19239502.htm,1,1,,北京晨光溢海数码科技有限公司,北京市通州区新华北街75号,北京林业大学智慧教室改造采购项目,596.9000000（万元）,,北京林业大学,北京市海淀区清华东路35号,李老师010-62337427,010-62337427,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层,刘聪、赵静淑010-639059663,,1,
BMCC-ZC22-0742,2022年12月16日 21:16,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248478.htm,1,1,,吉荣家具有限公司,泊头市工业开发区,北京科技大学逸夫楼教室桌椅维修更换,527.0470000（万元）,,北京科技大学,北京市海淀区学院路30号,谭老师/010-62332135,/010-62332135,北京明德致信咨询有限公司,北京市海淀区学院路30号科大天工大厦B座17层1709室,韩经理、王经理、吕绍山、颜华3,,1,
CTIETC-HWZB-2211071,2022年12月16日 22:40,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248754.htm,1,1,,北京大唐高鸿数据网络技术有限公司,北京市海淀区东冉北街9号院北区一号楼,北京航空航天大学两校区智慧教室配套设备购置项目,1438.4760000（万元）,,北京航空航天大学,北京市海淀区学院路37号,张老师010-82317596,010-82317596,中贸国际工程招标（北京）有限公司,北京市丰台区西四环南路35号中都科技大厦516室,成凯、冯英山、陈雪松010-86203830、862038313,,1,
CTIETC-HWZB-2211072,2022年12月16日 22:43,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248763.htm,1,1,,北京全德隆创意家具有限公司,北京市通州区张家湾镇后街村236号,北京航空航天大学两校区智慧教室配套桌椅购置项目,1227.8380000（万元）,,北京航空航天大学教务处,北京市海淀区学院路37号,宋老师010-82317597,010-82317597,中贸国际工程招标（北京）有限公司,北京市丰台区西四环南路35号中都科技大厦516室,成凯、冯英山、陈雪松010-86203830、862038313,,1,
清设招第2022259号（TC221908K）,2022年10月31日 21:21,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202210/t20221031_18920806.htm,1,1,,北京恒知杰科技有限公司,北京市昌平区城北街道西关路20号4号楼4层4-509,模拟实训室中心设备购置（阶段一）,494.5300000（万元）,,清华大学,北京市海淀区清华大学,胡老师，010-64308032,，010-64308032,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦,张涵睿、陈思佳、孙慧、蒋雪娜、邓嘉莹，010-61954121、4120、41223,,1,
ZTXY-2022-F33661,2022年11月11日 16:59,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202211/t20221111_18995338.htm,1,1,,北京电信规划设计院有限公司,北京市海淀区车公庄西路乙19号(华通大厦B座3-7层),中国地质大学（北京）雄安校区智慧校园专项规划编制咨询服务,82.4998000（万元）,,中国地质大学（北京）,北京市海淀区学院路29号,蔡老师；010-82323969,；010-82323969,中天信远国际招投标咨询(北京)有限公司,北京市朝阳区南磨房路37号华腾北搪商务大厦11层1105室,车女士、于先生、鲁女士、王先生；010-537799103,,1,
0730-226112BJ0137,2022年12月05日 11:58,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221205_19152260.htm,1,1,,北京中天瑞合科技有限公司,北京市海淀区龙岗路51号院7号楼2层45室,北京外国语大学智能教室三期设备采购项目,1396.6000000（万元）,,北京外国语大学,北京市海淀区西三环北路2号,"杨老师,010-88816596",",010-88816596",中航技国际经贸发展有限公司,北京市朝阳区慧忠路5号远大中心B座20层,姜华、孙玉玲，010-883803503,,1,
XHTC-HW-2022-1656,2022年12月05日 21:13,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221205_19160479.htm,1,1,,北京富源天成科技有限公司,北京市海淀区唐家岭村南2幢二层204,北京师范大学计算机教室改造,765.0000000（万元）,,北京师范大学,北京市海淀区新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层,叶子青、李硕、杜女士010-639059773,,1,
XHTC-HW-2022-1661,2022年12月05日 21:41,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221205_19160574.htm,1,1,,北京中天瑞合科技有限公司,北京市海淀区龙岗路51号院7号楼2层45室,北京师范大学教九楼计算机教室改造,327.9306000（万元）,,北京师范大学,北京市海淀区新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层,叶子青、李硕、杜女士010-639059773,,1,
CFTC-BJ01-22011049,2022年12月06日 17:26,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19168524.htm,1,1,,北京富源天成科技有限公司,北京市海淀区唐家岭村南2幢二层204,北京师范大学公共教室投影机更新项目二期,428.7800000（万元）,,北京师范大学,北京市新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,国金招标有限公司,北京市朝阳区东三环南路甲52号顺迈金钻国际商务中心9层9C,边璐、王珊珊、张金鑫、吴丹、张含勇010-562150503,,1,
CTIETC-HWZB-2205012,2022年08月01日 13:06,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220801_18370728.htm,1,1,,北京全德隆创意家具有限公司,北京市通州区张家湾镇后街村236号,北京航空航天大学老主楼智慧教室配套桌椅购置项目,395.9690000（万元）,,北京航空航天大学,北京市海淀区学院路37号,宋老师010-82317597,010-82317597,中贸国际工程招标（北京）有限公司,北京市丰台区西四环南路35号中都科技大厦516室,成凯、冯英山、陈雪松010-86203830、862038313,,1,
北林招（货）[2022]026号,2022年08月12日 18:07,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220812_18452285.htm,1,1,,北京中科晟宇科技有限公司,北京市房山区良乡凯旋大街建设路18号—D18367（集群注册）,北京林业大学学10号楼监控更换及中控室分控室监控安全系统采购项目,183.1000000（万元）,,北京林业大学,北京市海淀区清华东路35号,王老师010-62337427,010-62337427,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层,刘聪赵静淑010-63905966、010-639059763,,1,
FG-DLP-2022-0608,2022年08月17日 15:07,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220817_18476305.htm,1,1,,北京大唐高鸿数据网络技术有限公司,北京市海淀区学院路40号3区3幢一层,北京师范大学附属中学演播室（录课教室）设备升级更新采购项目,397.0000000（万元）,,北京师范大学附属中学,北京市西城区南新华街18号,姚老师，010-83193000-7303,，010-83193000-7303,北京泛华国金工程咨询有限公司,北京市海淀区阜外亮甲店1号恩济西园产业园16A,尹润坪、高春荣010-88504133-80313,,1,
XHTC-HW-2022-0984,2022年08月17日 15:30,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220817_18476294.htm,1,1,,北京黎明文仪家具有限公司,北京市通州区中关村科技园区通州园金桥科技产业基地景盛南四街18号,北京师范大学教七楼公共教室家具购置项目,198.2086000（万元）,,北京师范大学,北京市海淀区新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层,叶子青、李硕010-639059773,,1,
ZZGX-GK2022-0710,2022年08月30日 17:37,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202208/t20220830_18560874.htm,1,1,,珠海市联创办公设备有限公司,珠海市香洲区碧海路77号濠海大厦11号车库,北京师范大学珠海校区公共教室、会议室、报告厅室等场所设施设备驻点服务项目,130.9000000（万元）,,北京师范大学珠海校区,珠海市香洲区唐家湾金凤路18号,尤老师0756-3683857,0756-3683857,广东中洲国信建设管理咨询有限公司,珠海市香洲区洲山路13号A座3楼,陈工0756-63442183,,1,
BIECC-22ZB0543/中传招标【2022】第042号,2022年09月02日 10:48,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220902_18581564.htm,1,1,,北京东方正龙数字技术有限公司,北京市海淀区上地三街9号D座九层D1012,中国传媒大学多语种翻译实训室采购项目,157.6530000（万元）,,中国传媒大学,北京市朝阳区定福庄东街一号,耿老师010-65783477,010-65783477,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座6层,王蕾蕾、杨梦雪010-823735323,,1,
0873-2201HW6L0431,2022年09月06日 17:26,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220906_18605612.htm,1,1,,天津天堰科技股份有限公司,华苑产业区海泰西路18号西6--301、302工业孵化,北京大学医学部多媒体教室配套设备采购项目,52.9456000（万元）,,北京大学医学部,北京市海淀区学院路38号,凌老师，010-82801359,，010-82801359,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,王磊、刘欣、施歌、杨硕、陈清010-59893127、010-59893109、010-598931293,,1,
BUPT-HWXCZB-22019（CFTC-BJ01-2207046）,2022年09月14日 19:29,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220914_18650755.htm,1,1,,北京悦诚铭达科技有限公司,北京市昌平区黄平路19号院2号6层603-C,北京邮电大学沙河校区专教教室建设项目,146.5678000（万元）,,北京邮电大学,北京市海淀区西土城路10号,周老师010-62282312,010-62282312,国金招标有限公司,北京市朝阳区东三环南路甲52号顺迈金钻国际商务中心9层9C,王珊珊、边璐、吴丹、杨振豪、张含勇010-562150503,,1,
BIECC-22ZB0547,2022年09月16日 15:03,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202209/t20220916_18663557.htm,1,1,,北京竹远科创科技股份有限公司,北京市海淀区上地三街9号D座7层D806-5,中国矿业大学（北京）沙河校区智慧教室建设项目,142.9820000（万元）,,中国矿业大学（北京）,北京市海淀区学院路丁11号,许老师，010-62331945,，010-62331945,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座六层,李博龙、朱晨钰010-823760903,,1,
HW-2022011-MD0134,2022年07月12日 10:06,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220712_18243979.htm,1,1,,北京悦诚铭达科技有限公司,北京市昌平区黄平路19号院2号6层603-C,中央财经大学教室、会议室多媒体设备升级改造采购项目,49.8915000（万元）,,中央财经大学,北京海淀区学院南路39号,闫老师；010-62289113,；010-62289113,北京明德致信咨询有限公司,北京市海淀区学院路30号科大天工大厦A座六层16室（邮编：100083）,刘亚运、颜华、吕绍山、王爽，010-82370045、159108478653,,1,
BIECC-22ZB0400,2022年07月12日 19:41,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220712_18250656.htm,1,1,,北京银盾保安服务有限公司,北京市昌平区北七家镇曹碾村3号,中国地质大学(北京)2022—2024年科研楼、学17楼消防中控管理服务,197.7600000（万元）,,中国地质大学（北京）,北京市海淀区学院路29号,田老师，010-82323930,，010-82323930,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座611,李博龙、朱晨钰010-823767253,,1,
0873-2201HW5L0240（清设招第2022116号）,2022年07月13日 17:09,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220713_18257300.htm,1,1,,北京市博汇科技股份有限公司,北京市海淀区丰贤中路7号(孵化楼)5层501,清华大学六教中控室信息化教学环境升级改造,405.2991000（万元）,,清华大学,北京市海淀区清华园,关老师010-62796244,010-62796244,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,施歌、王磊、杨硕、刘欣、谢杰、杨轶、陈清010-59893121、010-59893127、010-598931293,,1,
BIECC-22ZB0408,2022年07月15日 17:14,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220715_18273420.htm,1,1,,北京竹远科创科技股份有限公司,北京市海淀区上地三街9号D座7层D806-5,中国矿业大学（北京）学院路校区智慧教室建设项目,295.6626000（万元）,,中国矿业大学（北京）,北京市海淀区学院路丁11号,许老师，010-62331945,，010-62331945,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座611,李博龙、朱晨钰010-823767253,,1,
OITC-G220311197,2022年07月19日 12:23,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18288639.htm,"1,2,3",3,,"北京竹远科创科技股份有限公司,北京市博汇科技股份有限公司,北京伟森盛业家具有限公司","北京市朝阳区仓营村0号华成文创园3-1,北京市海淀区铃兰路8号院万科翠湖国际北1号楼,北京市朝阳区下甸甲三号尚8广告园三单元地下一层",北京大学第一教学楼智慧教室改造招标采购项目,"357.1680000（万元）,186.2991000（万元）,182.4667000（万元）",,北京大学,北京市海淀区颐和园路5号,吴老师010-62758587,010-62758587,东方国际招标有限责任公司,北京市海淀区西三环北路甲2号院科技园6号楼13层01室,王军、郭宇涵、李雯；010-682905083,,1,
CTIETC-HWZB-2205011,2022年07月19日 15:37,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18290218.htm,1,1,,北京竞业达数码科技股份有限公司,北京市海淀区银桦路60号院6号楼,北京航空航天大学老主楼智慧教室配套教学设备购置项目,1258.0000000（万元）,,北京航空航天大学,北京市海淀区学院路37号,宋老师010-82317597,010-82317597,中贸国际工程招标（北京）有限公司,北京市丰台区西四环南路35号中都科技大厦516室,成凯、冯英山、陈雪松010-86203830、862038313,,1,
HCZB-2022-ZB0335,2022年07月19日 17:46,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220719_18293645.htm,1,1,,北京国杰科技有限公司,北京市海淀区清河安宁庄东路18号2号楼一层05室,北师大实验中学教室教学用部分多媒体设备更新与弱电改造项目,293.5930000（万元）,,北京师范大学,北京市西城区二龙路14号,沈老师010-66526075,010-66526075,华采招标集团有限公司,010-63509799-8112/8024,贾东敏、蒲晓芳、姚冲、刘金秀3,,1,
0873-2201HW2L0189,2022年07月20日 17:26,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220720_18301157.htm,1,1,,北京国信晟通科技发展有限公司,北京市海淀区蓝靛厂南路25号1幢5层07-1号,北京外国语大学北校区多媒体教室建设项目,398.6561000（万元）,,北京外国语大学,北京海淀区西三环北路2号,杨老师010-88816596,010-88816596,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,蒋旭、陈清、谢杰、韩寿国、杨硕、刘欣，010-59893113、31123,,1,
0873-2201HW5L0341,2022年07月21日 16:59,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220721_18309229.htm,1,1,,北京君与珺合科技有限公司,北京市海淀区后屯南路26号3层3-17,北京大学医学部小型教室显示系统升级项目,97.5950000（万元）,,北京大学医学部,北京市海淀区学院路38号,凌老师010-82801359,010-82801359,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,施歌、王磊、杨硕、刘欣010-59893121、010-59893127、010-598931293,,1,
BIECC-22ZB0318,2022年07月22日 07:56,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220722_18311772.htm,1,1,,北京竹远科创科技股份有限公司,北京市海淀区上地三街9号D座7层D806-5,北京语言大学多媒体教室升级改造项目,803.8680000（万元）,,北京语言大学,北京市海淀区学院路15号,李老师82303461,82303461,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座6层611室,张乐、王经理010-823751623,,1,
FG-DLP-2022-0608,2022年07月27日 10:31,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220727_18342369.htm,1,1,,北京益泰电子集团有限责任公司,北京市海淀区北洼路6号,北京师范大学附属中学演播室（录课教室）设备升级更新采购项目,405.6300000（万元）,,北京师范大学附属中学,北京市西城区南新华街18号,姚老师，010-83193000-7303,，010-83193000-7303,北京泛华国金工程咨询有限公司,北京市海淀区阜外亮甲店1号恩济西园产业园16A,尹润坪、高春荣010-88504133-80313,,1,
ZBXM20220505150406/TC221902Q,2022年06月16日 15:30,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220616_18089841.htm,1,1,,北京竞业达数码科技股份有限公司,北京市门头沟区石龙工业区雅安路6号院1号楼C座8层805,北京中医药大学和平街校区学八楼教室建设项目,286.9000000（万元）,,北京中医药大学,北京市朝阳区北三环东路11号,胡老师，010-53911758,，010-53911758,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦,蒋雪娜、陈思佳、张涵睿、孙慧、邓嘉莹，010-61954120、621082713,,1,
0873-2201HW6L0237,2022年06月17日 15:14,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220617_18097714.htm,1,1,,成都泰盟软件有限公司,中国（四川）自由贸易试验区成都高新区天府大道中段1388号1幢1106号,北京大学医学部三面屏环绕沉浸式实训室采购项目,80.0000000（万元）,,北京大学医学部,北京市海淀区学院路38号,凌老师010-82801359,010-82801359,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,王磊、刘欣、施歌、杨硕010-59893127、010-59893109、010-598931293,,1,
HCZB-2022-ZB0473,2022年06月20日 18:16,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220620_18111633.htm,1,1,,北京竹远科创科技股份有限公司,北京市海淀区上地三街9号D座7层D806-5,华北电力大学教室多媒体教学设备升级项目,95.8120000（万元）,,华北电力大学,北京市昌平区回龙观北农路2号,张老师010-61772996,010-61772996,华采招标集团有限公司,北京市丰台区广安路9号国投财富广场6号楼1601室,贾东敏、蒲晓芳010-63509799-8112/80243,,1,
HCZB-2022-ZB0523,2022年06月22日 12:37,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220622_18123843.htm,1,1,,北京竹远科创科技股份有限公司,北京市海淀区上地三街9号D座7层D806-5,北京科技大学多媒体教室设备升级改造,275.6000000（万元）,,北京科技大学,北京市海淀区学院路30号,何老师010-62332135,010-62332135,华采招标集团有限公司,北京市丰台区广安路9号国投财富广场6号楼1601室,贾东敏、蒲晓芳、姚冲、刘金秀010-63509799-8112/80243,,1,
BIECC-22ZB0370/清设招第2022131号,2022年06月27日 16:36,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220627_18153291.htm,1,1,,北京格林视讯科技有限公司,北京市海淀区三里河路1号3号楼二层5324,清华大学附属中学B106教室音视频系统升级改造项目,93.0000000（万元）,,清华大学,北京市海淀区清华大学，邮编100084,010-62789532,-62789532,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座611,王蕾蕾、杨梦雪010-823735323,,1,
0873-2201HW4L0261,2022年06月29日 07:43,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220629_18165576.htm,1,1,,北京基线天成科技有限公司,北京市海淀区东北旺西路8号院25号楼4层428室,中国人民大学1302教室优化升级购置项目,178.8000000（万元）,,中国人民大学,北京市海淀区中关村大街59号,苏老师010-62511204,010-62511204,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,陆炜、韩寿国、丁玲、蒋旭010-59893116、3123、31253,,1,
0873-2201HW5L0274,2022年07月05日 15:53,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220705_18204318.htm,1,1,,北京鑫台华科技有限公司,北京市丰台区科学城星火路10号1号楼4层451室,北京大学医学部网络中央控制器、控制面板等采购项目,349.9430000（万元）,,北京大学医学部,北京市海淀区学院路38号,凌老师，010-82801359,，010-82801359,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,施歌、王磊、杨硕、刘欣，010-59893121、010-59893127、010-598931293,,1,
XHTC-HW-2022-0612,2022年07月06日 09:26,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202207/t20220706_18208986.htm,1,1,,北京晨光溢海数码科技有限公司,北京市通州区新华北街75号,中国人民大学2022年公共教室多媒体设备升级改造项目,303.0000000（万元）,,中国人民大学,北京市海淀区中关村大街59号,肖老师010-62511204,010-62511204,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层新华招标,唐靖凯010-63905975、张际阳010-639059723,,1,
