,project_id,winning_date,winning_notice_url,order_id,winning_order_cnt,project_winning_amt,supplier_name,supplier_addr,order_name,winning_amt,cadidate_name,buyer_name,buyer_addr,buyer_contact,buyer_phone,agency_name,agency_addr,agency_contact,agency_phone
17,2022-08-23,2022年10月18日,http://hngp.gov.cn/henan/content?infoId=1278970&channelCode=H680202,1,1,,河南金天丽科教设备有限公司,河南省濮阳市清丰县产业集聚区,具体详见采购文件（第五部分 招标项目采购需求）,900000,,原阳县第五初级中学,原阳县城区人民路东段路南,赵高丽,13938700234,河南恒创工程咨询有限公司,新乡市红旗区金穗大道与新中大道交叉口西北角新闻大厦,李嘉曼,13137327722
18,南阳政采公开-2022-93,2022年10月19日,http://hngp.gov.cn/henan/content?infoId=1279699&channelCode=H740602,1,1,,河南祥泰教学设备有限公司,郑州市金水区徐庄东路97号牛顿国际B座3楼C03区,文化路校区物理实验室装备项目,1003600,,南阳市第十三中学校,南阳市文化路,王盛林,18737705050,南阳信威招标代理有限公司,南阳市梅溪路209号,肖金保,15936418708
19,南召政采公开-2022-26,2022年10月17日,http://hngp.gov.cn/henan/content?infoId=1277388&channelCode=H740602,"1,2,3,4,5",5,,"河南飞嘉实业有限公司,河南东晶医疗科技有限公司,河南昊泽康医疗器械有限公司,河南东晶医疗科技有限公司,河南诚嘉信息技术有限公司","河南省南阳市高新区中关村科技产业园商苑街112号(经十路与商苑街交叉口向西200米路南）,河南省开封市兰考县产业集聚区济阳大道与科技路恒大产业园办公楼2楼总部经济港2-1-11,南阳市中州西路摩托车配件批发市场,河南省开封市兰考县产业集聚区济阳大道与科技路恒大产业园办公楼2楼总部经济港2-1-11,河南省郑州市金水区朝阳路2号院2号楼1单元6层11号","河南省南召卫生职业中等专业学校附属医院提升改造医疗设备采购项目第1标段,河南省南召卫生职业中等专业学校附属医院提升改造医疗设备采购项目第2标段,河南省南召卫生职业中等专业学校附属医院提升改造医疗设备采购项目第3标段,河南省南召卫生职业中等专业学校附属医院提升改造医疗设备采购项目第4标段,河南省南召卫生职业中等专业学校附属医院提升改造医疗设备采购项目第5标段","1744100.00,3645180.00,3534683.00,798900.00,1078000.00",,河南省南召卫生职业中等专业学校,南召县城关镇黄鸭河桥东,杨菊,18538978787,中豫建设工程咨询有限公司,河南省郑州市高新技术产业开发区西三环路283号国家大学科技园东区17号楼-4号,杨女士,0371-61773033，15225093651
20,豫财招标采购-2022-1067,2022年10月12日,http://hngp.gov.cn/henan/content?infoId=1276883&channelCode=H600102,"1,2",2,,"河南康之祥信息科技有限公司,郑州国之安电子科技有限公司","郑州市金水区郑花路59号24号楼西2单元2层西户,郑州市金水区花园路8号安华大厦12层1201号","整车检测一体化实训中心2,汽车车身电气实训中心2","1796000.00,499500.00",,河南省驻马店财经学校,驻马店市盘龙山北路2626号,代国涛,18539669311,郑州众诚建设咨询有限公司,郑州市金水区经八路14号附19号汇元大厦409至419室,赵怀轩,15503962908
21,豫财招标采购-2022-1068,2022年10月13日,http://hngp.gov.cn/henan/content?infoId=1277888&channelCode=H600102,"1,2",2,,"驻马店市德浩商贸有限公司,河南省新亨凯电子产品有限公司","河南省驻马店市泰山路与盘龙山路交叉口西北侧西班牙小镇商住小区,驻马店市浙江国际商城义务小商品市场东区2层2187号","详见招标文件采购需求,详见招标文件采购需求","1067100.00,488500.00",,河南省驻马店财经学校,河南省驻马店市盘龙山路2626号,代老师,0396--2814081,中伟诚工程管理有限公司,河南自贸试验区郑州片区（郑东）普惠路80号1单元22层2218号,张先生,17339681335
22,郑财招标采购-2022-256,2022年10月14日,http://hngp.gov.cn/henan/content?infoId=1276264&channelCode=H610102,1,1,,河南智海电子技术有限公司,新乡市红旗区新延路与丰华街交叉口西南角161号蓝郡国际17号楼1603室（107以西）,郑州旅游职业学院市场营销数字可视化云实训中心项目,1292000,,郑州旅游职业学院,河南省郑州市郑东新区金龙路188号,武衡,0371-61130307,郑州市公共资源交易中心,郑州市中原西路郑发大厦7018室,无,无
23,郑财招标采购-2022-225,2022年10月13日,http://hngp.gov.cn/henan/content?infoId=1275928&channelCode=H610102,1,1,,郑州捷安高科股份有限公司,郑州高新技术产业开发区科学大道133号11层,郑州市科技工业学校-城市轨道交通运营管理仿真实训项目,1686600,,郑州市科技工业学校,郑州市金水区丰乐路123号,张巧英,15038238961,河南省伟信招标管理咨询有限公司,郑州市郑东新区东风南路与创业路交叉口绿地中心北塔16楼,肖军伟,0371-65837988
24,洛采公开-2022-171,2022年10月14日,http://hngp.gov.cn/henan/content?infoId=1275877&channelCode=H640102,1,1,,洛阳浪合科技有限公司,河南省洛阳市中电光谷产业发展加速中心1-1栋201室,信创服务器I,1866500,,洛阳职业技术学院,洛阳市伊滨区科技大道6号,李先生,0379-67256506,洛阳市政府采购中心,洛阳市洛龙区开元大道与永泰街交叉口西南角洛阳市民之家六楼6013、6014室,张先生许先生,0379-69921027
25,豫财招标采购-2022-986,2022年09月27日,http://hngp.gov.cn/henan/content?infoId=1274957&channelCode=H600102,1,1,,郑州敏勤科技有限公司,河南省郑州市郑东新区金水东路136号华北水利水电大学龙子湖校区S6号楼204室,许昌学院数字化实践教学中心（二期）项目,1890800,,许昌学院,许昌市魏都区八一路88号,杨老师,0374-2968716,河南省公共资源交易中心,郑州市经二路12号,王老师,0371-65915565
26,洛采公开-2022-162,2022年10月11日,http://hngp.gov.cn/henan/content?infoId=1272821&channelCode=H640102,1,1,,洛阳市皓联信息科技有限公司,中国(河南)自由贸易试验区洛阳片区高新丰华路6号银昆科技园5#楼301,一标段：智慧教室,889560,,洛阳职业技术学院,洛阳市伊滨区科技大道6号,史先生,0379-62233835,洛阳市政府采购中心,洛阳市洛龙区开元大道与永泰街交叉口西南角洛阳市民之家六楼6013、6014,许先生王先生,0379-69921028
27,郑财招标采购-2022-266,2022年10月10日,http://hngp.gov.cn/henan/content?infoId=1271833&channelCode=H610102,1,1,,河南宸朵商贸有限公司,郑州市二七区嵩山北路93号6号楼4楼西户,郑州市科技工业学校-机器人实训室建设项目,1751800,,郑州市科技工业学校,郑州市金水区丰乐路123号,罗素保,0371-67021486,河南省伟信招标管理咨询有限公司,郑州市郑东新区东风南路与创业路交叉口绿地中心北塔16楼,肖军伟,0371-65837988
28,清采公开-2022-32,2022年10月10日,http://hngp.gov.cn/henan/content?infoId=1271141&channelCode=E000503,1,1,,河南云安智能设备有限公司,濮阳市开州路南段,教学一体机及办公电脑,988900,,清丰县晓月路小学,清丰县城关镇江渎路与和义路交叉口,任中杰,13243208969,濮阳市清丰县政府采购中心,清丰县人民路政府综合楼东南角二楼,张团杰,0393-7219107
29,焦采招标采购-2022-39,2022年09月27日,http://hngp.gov.cn/henan/content?infoId=1262323&channelCode=H690202,1,1,,河南省居泰隆装饰工程有限公司,焦作市山阳区工业路2813号,焦作师范高等专科学校电子商务实训中心改造项目（一包）（二次）,387241.5,,焦作师范高等专科学校,焦作市山阳路998号,李老师,13633911978,汇龙工程咨询有限公司,焦作市解放区新园西路璟都苑7-1号临街门面房,路女士,15837131275
30,豫财招标采购-2022-997,2022年09月22日,http://hngp.gov.cn/henan/content?infoId=1259199&channelCode=H600102,1,1,,郑州博鹏科技有限公司,郑州市中原区桐柏路238号1号楼21层2103号,见招标文件第五章货物需求及技术参数,1963300,,河南工业大学,郑州市高新技术开发区莲花街100号,王老师,0371-67758908,河南诚信工程管理有限公司,郑州市郑东新区商鼎路56号东方陆港C栋14层,刘女士,0371-53307955
31,,,http://hngp.gov.cn/henan/content?infoId=1259145&channelCode=H740604,,0,,,,,,,,,,,,,,
32,豫财招标采购-2022-937,2022年09月21日,http://hngp.gov.cn/henan/content?infoId=1256413&channelCode=H600102,1,1,,河南国鸿实业股份有限公司,郑州市金水区东明路北219号院4号楼2单元1层15号,郑州信息科技职业学院智能工厂虚拟实训中心项目,2750200,,郑州信息科技职业学院,郑州市金水区龙子湖北路36号,任老师,0371-58525590,河南省教育招标服务有限公司,河南省郑州市金水区花园路116号河南省农业科学院院内西南角原农信楼,陈奇、王姝倩,15225164375
33,驻政采购-2022-08-8,2022年09月21日,http://hngp.gov.cn/henan/content?infoId=1258055&channelCode=H780602,1,1,,驻马店市创纪文化传媒有限公司,河南省驻马店市驿城区雪松路与骏马路交叉口东南角燃料公司家属院3号楼2单元501,驻马店市第二初级中学北区功能教室设备采购,4451073,,驻马店市第二初级中学,驻马店市开发区乐山路北段驻马店市二中北校区,皮老师,0396-2758969,中信诚项目管理有限公司,驻马店市置地华庭B座,杨女士,18137647844
34,管招采（2022）55号,2022年09月21日,http://hngp.gov.cn/henan/content?infoId=1255856&channelCode=D280202,1,1,,中云通建电子科技有限公司,河南省郑州市金水区东风路街道文化路82号院附二号1-2附3号,郑州市管城回族区回民第一小学管城回族区教育局所属部分学校录播教室项目,903700,,郑州市管城回族区回民第一小学,郑州市管城回族区营门街23号,冉老师,0371-66226826,汇衡昊远项目管理咨询有限公司,郑州市金水东路49号绿地原盛国际1号楼B座10楼149号,赵小月,15838301538
35,2022-06-52,2022年09月19日,http://hngp.gov.cn/henan/content?infoId=1253482&channelCode=H650202,1,1,,北京易普拉格科技股份有限公司,北京市海淀区西三旗昌临801号27号201,科研管理系统建设,746600,,平顶山学院,平顶山市新华区未来路南段,李卫强,15836993009,河南省机电设备国际招标有限公司,郑州市东明路187号金成大厦B座10楼105室,宋宇,0371-8607919213044791666
36,郑财招标采购-2022-170,2022年09月14日,http://hngp.gov.cn/henan/content?infoId=1248706&channelCode=H610102,1,1,,未来知名（北京）教育科技有限公司,北京市海淀区大柳树路富海中心 3 号楼 1 层 101-3,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年人工智能实验室项目采购,1360000,,郑州市第五十六高级中学（郑州市郑开示范高级中学）,郑州市中牟县沐春路以北，筑梦街以东，沐雨路以南,潘志敏,0371-67984259,河南省中安民诚工程咨询有限公司,郑州市陇海西路55号院郑州市劳动大厦院内二楼,王新,0371-67177749-8012电子信箱：mczxdlyb@163.com
37,南阳政采公开-2022-13,2022年09月14日,http://hngp.gov.cn/henan/content?infoId=1248410&channelCode=H740602,1,1,,南阳市慧通商贸有限公司,南阳市七一路 78 号,南阳理工学院2021年智慧教室建设项目（三次）,1685880,,南阳理工学院,南阳市长江路80号,祁腾涛,13525120012,诚安工程管理有限公司,南阳市长江路与泰山路交叉口,王丽君,15660972893
38,豫财招标采购-2022-715,2022年09月09日,http://hngp.gov.cn/henan/content?infoId=1247582&channelCode=H600102,1,1,,祥晟科技有限公司,郑州航空港区郑港六路北侧8号2号楼1单元814室,河南财政金融学院校园网络安全提升项目,2898676,,河南财政金融学院,郑州市郑东新区龙子湖北路22号,张老师,0371-61625168,河南中旭国际招标有限公司,郑州市郑东新区商务外环路29号9层0909号,任女士,0371-65862097
39,豫财招标采购-2022-838,2022年09月08日,http://hngp.gov.cn/henan/content?infoId=1247252&channelCode=H600102,"1,2,3,4,5,6,7,8",8,,"国机工业互联网研究院（河南）有限公司,河南拓维尔科技有限公司,河南一真信息科技有限公司,河南函雨奇典电子科技有限公司,中创建达（广东）数据科技有限责任公司,河南嵩铭智能科技有限公司,睿通（天津）智能科技有限公司,河南恒茂创远科技股份有限公司","郑州高新技术产业开发区雪兰路60号1号楼5-6层,河南省郑州市二七区丹枫路6号院1单元14层1407号,河南自贸试验区郑州片区（郑东）商务外环与商务东三街交叉口景峰国际1810,郑州高新技术产业开发区西三环路289号7号楼9层19号,广州市番禺区石壁街石山大道南捷诚街12号2座410（仅限办公用途）,河南省郑州市管城回族区中州大道1899号28号楼8层31号,天津自贸试验区（东疆保税港区）亚洲路6975号金融贸易中心南区1-1-1418,郑州经济技术开发区郑尉路16号5幢1单元1102号","一包段：全过程咨询服务项目,二包段：产品设计仿真中心建设项目,三包段：工艺流程仿真中心交互式一体机项目,四包段：工艺流程仿真中心资源项目,五包段：维保安全仿真中心建设项目,六包段：虚拟仿真体验中心项目,七包段：虚拟仿真研创中心项目,八包段：虚拟仿真实训教学管理及资源共享平台项目","486000.00,2980300.00,1981500.00,1782950.00,1286770.55,2178000.00,1977200.00,2173600.00",,河南职业技术学院,河南省郑州市郑东新区平安大道210号,范科技,0371-69309268,河南兴达工程咨询有限公司,郑州市电厂路与泾河路向西200米路南河南省国家大学科技园东区15号楼F座,李静、张凯,0371-66681093
40,,,http://hngp.gov.cn/henan/content?infoId=1244983&channelCode=H680204,,0,,,,,,,,,,,,,,
41,郑财招标采购-2022-194,2022年09月09日,http://hngp.gov.cn/henan/content?infoId=1244862&channelCode=H610102,1,1,,河南求展实业有限公司,郑州市金水区北环路61号院锦绣汇城5号楼2单元4-5层402号,郑州市第一〇七高级中学开办费-计算机教室云桌面终端（224点位）项目,2148340,,郑州市第一〇七高级中学,郑州市二七区福华街街道苗圃街430号,刘志义,0371-86016100,郑州市公共资源交易中心,郑州市中原西路郑发大厦7018室,卢浩,0371-67110139
42,HQCG-2022-034,2022年09月08日,http://hngp.gov.cn/henan/content?infoId=1244573&channelCode=H680202,"1,2,3",3,,"山东德睿科教设备有限公司,新乡市杰立商贸有限公司,河南厚拓智慧信息技术有限公司","山东省菏泽市鄄城县郑营镇西街行政村西街村文化路中段路南,新乡市人民路 209 号金桂园 3 号楼 10 层 03 户,河南省新乡市新飞大道 1789 号高新区火炬园 H2 座(A-C)(201-207)-197","教学设备、体育器材、课桌凳等（详见采购需求）,智能黑板、笔记本电脑、高清解码器等（详见采购需求）,录播教室、监控、光纤等 （详见采购需求）","1199000.00,775000.00,997636.00",,新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）,新乡市新五街与人民路交叉口,张凯丽,18537330623,中大宇辰项目管理有限公司,河南省郑州市金水区金水东路与通泰路蓝天空港1-1-901,胡一凡,15515921890
43,豫财招标采购-2022-627,2022年09月02日,http://hngp.gov.cn/henan/content?infoId=1243871&channelCode=H600102,1,1,,河南亚控科技有限公司,郑州市金水区俭学街2号院2号楼4层403室,河南科技大学“中国道路”虚拟仿真平台项目和高性能计算机项目采购项目包1,770000,,河南科技大学,洛阳市洛龙区开元大道263号,黄老师,0379-65627683,河南省公共资源交易中心,郑州市经二路12号,王老师,0371-65915565
44,三财公开采购-2022-46,2022年08月19日,http://hngp.gov.cn/henan/content?infoId=1243193&channelCode=H730202,"1,2,3,4",4,,"河南广骁电子科技有限公司,杭州巨煜科技有限公司,河南鑫之诺电子科技有限公司,浙江高联检测技术有限公司","河南省郑州高新技术产业开发区莲花街11号3号楼1单元5层19号,浙江省杭州市临平区富塘路 1 号 2 幢 3 楼,郑州市金水区北环路 61号院7 号楼2单元6层 601 号,浙江省杭州市余杭区五常街道后山路 18 号 11 幢 2 楼 201 室","大学物理实验室,电工电子及电机与电气控制实验实训室,单片机原理与接口技术实验实训室,自动控制实验实训室","1939800.00,2398900.00,1049050.00,1269100.00",,三门峡职业技术学院,三门峡市崤山西路42号,周老师,15238927023,三门峡市政府采购服务中心,三门峡市崤山路西段28号（开发区电子城西侧）,葛女士,0398-3117812
45,豫财招标采购-2022-809,2022年09月06日,http://hngp.gov.cn/henan/content?infoId=1242473&channelCode=H600102,1,1,,河南本纯贸易有限公司,河南省郑州市郑东新区平安大道湖心环路西建业智慧大厦A座8层803号,详见招标文件,1379000,,河南农业大学,郑州市郑东新区平安大道218号,张老师,0371-56552897,河南安创工程招标管理有限公司,河南省国家大学科技园东区15号楼J座2楼,郭芬,0371-86235366邮箱：hnacgczb@163.com
46,新牧财招2022-040,,http://hngp.gov.cn/henan/content?infoId=1242343&channelCode=H680202,1,1,,河南佳和计算机有限公司,新乡市牧野区新中大道560号新视小区9号楼106室,新乡市牧野区西干道小学采购录播教室升级、网络广播及计算机教室项目,436100,,新乡市牧野区西干道小学,河南省新乡市牧野区黄岗路2号,苏晗,18937360476,河南东晟嘉文工程项目管理有限公司,河南省郑州市高新技术产业开发区杜英街166号赛微产业园1号楼,周瑞,13044751985
47,新乡政采招标采购-2022-27,2022年09月06日,http://hngp.gov.cn/henan/content?infoId=1241708&channelCode=H680202,1,1,,河南麦瑞克电子科技有限公司,郑州市中原区中原中路171号11号楼综合楼2单元16层1604号,详见附件,3966650,,新乡学院,新乡市金穗大道东段191号,张科,18303619890,河南星际项目管理有限公司,郑州市金水区中州大道1188号置地广场B座8楼,张婷婷,0371-65716639、13253652759
48,郑财招标采购-2022-216,2022年09月05日,http://hngp.gov.cn/henan/content?infoId=1241465&channelCode=H610102,1,1,,河南嘉泽教育科技有限公司,郑州市金水区畜牧路138号10号楼2单元5层22号,报告厅设设备,1516000,,郑州市第四十四高级中学,新郑市求实路以东、环南路以北、圭壁路以西、华南城五路以南,胡珂,0371-68769308,河南省伟信招标管理咨询有限公司,郑州市郑东新区东风南路与创业路交叉口绿地中心北塔16楼,李金秋董辛鹏,0371-65528292
49,郑财招标采购-2022-217,2022年09月05日,http://hngp.gov.cn/henan/content?infoId=1241466&channelCode=H610102,1,1,,河南智胜教学设备有限公司,河南省郑州市金水区经五路30号院4号楼3单元6层36号,礼堂设备,4190000,,郑州市第四十四高级中学,新郑市求实路以东、环南路以北、圭壁路以西、华南城五路以南,胡珂,0371-68769308,河南省伟信招标管理咨询有限公司,郑州市郑东新区东风南路与创业路交叉口绿地中心北塔16楼,李金秋董辛鹏,0371-65528292
50,郑财招标采购-2022-218,2022年09月05日,http://hngp.gov.cn/henan/content?infoId=1241077&channelCode=H610102,1,1,,河南省曙光电子科技有限公司,郑州市金水区农业路东16号1号楼2507室,会议室设备,1336000,,郑州市第四十四高级中学,新郑市求实路以东、环南路以北、圭壁路以西、华南城五路以南,胡珂,0371-68769308,河南省伟信招标管理咨询有限公司,郑州市郑东新区东风南路与创业路交叉口绿地中心北塔16楼,李金秋董辛鹏,0371-65528292
51,豫财招标采购-2022-814,2022年09月05日,http://hngp.gov.cn/henan/content?infoId=1241497&channelCode=H600102,"1,2",2,,"河南贝加尔电子科技有限公司,河南航羽智能科技有限公司","河南省郑州市文化路 82 号硅谷广场 C5-38,郑州航空港经济综合实验区如云路恒丰科创中心 1 号楼 8 楼","双创项目运营管理平台及创业孵化配套建设,科技创新体验平台及配套建设","2681360.00,2113000.00",,郑州铁路职业技术学院,郑州市郑东新区前程路9号（郑州铁路职业技术学院新校区）,王老师,0371-60867917,河南正禄招标代理有限公司,河南省郑州市郑东新区白沙镇通惠路31号府苑小区1号楼1单元402号,陈诗涵,0371-53301569
52,豫财招标采购-2022-703,2022年08月30日,http://hngp.gov.cn/henan/content?infoId=1238276&channelCode=H600102,1,1,,河南新永源电子科技有限公司,郑州市金水区红专路 109 号 11 层 1104 号,文献服务支撑保障系统,3600000,,河南艺术职业学院,郑州市郑东新区郑开大道132号,李老师,0371-60867512,方大国际工程咨询股份有限公司,郑州市郑东新区康宁街与普济路交会处德威广场12层,张亚萍,0371-86120322
53,南阳政采公开-2022-19,2022年08月31日,http://hngp.gov.cn/henan/content?infoId=1236487&channelCode=H740602,1,1,,河南恩西机床有限公司,郑州市金水区农业路60号附2号,工业机器人,1095800,,河南省南阳工业学校,南阳市宛城区枣林街759号,胡建伟,13703459480,南阳市政府采购中心,南阳市范蠡东路与南都路交叉口市民服务中心中区3号楼5楼,程文博,0377-61176178
54,郑财招标采购-2022-172,2022年08月31日,http://hngp.gov.cn/henan/content?infoId=1235498&channelCode=H610102,1,1,,河南华鑫教育科技有限公司,郑州市郑东新区龙湖中环南路北、九如路东1幢5层515号,校园广播及一卡通系统,1958318,,郑州市第一〇三高级中学,郑州市金水区群英路17号,赵晓静,0371-63726636,河南招标采购服务有限公司,郑州市纬四路13号（花园路与纬四路交叉口东50米路北）,马小利,0371-65950562
