,标题,原文链接
536,【平公资采2022619号】平顶山职业技术学院物业服务-中标公告,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1193150&channelCode=H650202
540,河南警察学院纸质图书采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1193143&channelCode=H600102
541,郑州市第二初级中学计算机教室项目中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1192069&channelCode=D250202
544,河南推拿职业学院针灸推拿虚拟仿真实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1192545&channelCode=H600102
545,黄河水利职业技术学院电子商务专业群资源库建设项目包B、包C-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1191477&channelCode=H600102
546,2022年精品课在线开放课程视频资源制作中标（成交）结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1191612&channelCode=H670204
547,叶县中等专业学校搬迁项目办公家具采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1192377&channelCode=D490202
553,新乡学院2022-2024学年教材采购项目-中标公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1189631&channelCode=H680204
554,郑州大学信息化办公室2022年度多媒体教室运维服务外包项目结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1189493&channelCode=H600104
555,河南艺术职业学院2021年河南全民技能振兴工程省级高技能人才培养示范基地项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1189196&channelCode=H600102
558,巩义市第一中等专业学校新能源汽车虚拟仿真实训基地建设项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1187723&channelCode=D310202
559,河南应用技术职业学院2022年物业综合服务（郑州校区、开封校区）招标项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1188687&channelCode=H600102
560,郑州市第四十七高级中学郑州市第四十七中学高中部东校区学生课桌椅及书包柜多媒体讲桌等（高三年级）项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1188198&channelCode=H610102
562,新乡市牧野区新飞大道小学智慧教室、智慧黑板购置项目结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1187064&channelCode=H680202
567,焦作师范高等专科学校应用电子技术教育专业实验实训室建设项目-中标公告,http://jiaozuo.hngp.gov.cn/jiaozuo/content?infoId=1186091&channelCode=H690202
572,河南交通职业技术学院道路工程试验检测实训基地项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1185566&channelCode=H600102
575,新乡市牧野区北干道小学计算机教室电脑、网络设备、智慧黑板、课桌凳、美术教室、科学教室建设项目结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1184634&channelCode=H680202
576,河南城建学院计算机与数据科学学院机房升级改造项目磋商结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1185065&channelCode=H600104
577,武陟县第一中学新增教室交互式电子黑板采购项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1184916&channelCode=D240204
582,辉县市第一高级中学教学区、办公区保洁项目 结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1182021&channelCode=H680202
583,巩义市第二高级中学学生教室与实验室设备能力提升项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1181464&channelCode=D310202
586,河南理工大学多媒体设备更新项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1180033&channelCode=H600102
590,郑州信息科技职业学院物联网综合创新实训室建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1179468&channelCode=H600102
599,河南护理职业学院心理实验室建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1178294&channelCode=H600102
604,新乡学院发酵与酿造校内实训平台项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1174662&channelCode=H680202
607,河南省经济管理学校筹建河南粮食科技职业学院专业实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1175064&channelCode=H600102
609,郑州市第五十七中学交互智能黑板项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1172968&channelCode=D250202
